id,dn_number,circle,state,city,area,type_of_build,financial_year,link_name,ce_route_id,ce_section_id,ce_subsection_id,municipal_authority,ward,road_name,start_point,end_point,authority_application_date,authority_application_number,authority_new_application_number,dn_received_date,dn_length,ri_amount,sd_amount,supervision_charge_amt,additional_charge_amt,land_length_mtrs,land_rent_start_date,land_rent_end_date,land_rent_tenure,ground_rent,access_charge,admin_charges,chamber_fee,gst,dn_amount_without_gst,dn_amount_with_gst,dn_payment_date,differential_dn_number,differential_dn_amount,differential_dn_sd,permission_receipt_date,permit_no,permit_start_date,permit_end_date,permitted_length_by_ward_mts,permitted_no_of_ducts,work_status,date_of_refund_application,refund_application_no,sd_refund_amount,sd_deductions,remarks_for_deductions,sd_check,sd_refund_date,sd_refund_ack_no,date_of_refund_application_ri,refund_application_no_ri,ri_refund_amount,penalty_deductions,remarks_for_deductions_ri,ri_refund_date,ri_refund_ack_no
11,783341644,Mumbai,Maharashtra,Mumbai,ME,Co-Built,25-26,MUM_Route_90,,,,MCGM,ME,,ZARINA PARK GATE NO 02,MCGM MOTOR LOADER CHOWKY,2025-04-24,783341644,,2025-04-25,160.0,1073760.0,536880.0,,,160.0,,,,320.0,,160.0,,,1611120.0,1611120.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,783340693,Mumbai,Maharashtra,Mumbai,A,Co-Built,25-26,3054,MUMU25NL006,MUMU25NL006MCWA,MUMU25NL006MCWA250415D3C3L0015,MCGM,A,,SUN CLINIC,ANIL MILK SUPPLIER,2025-04-15,783340693,,2025-05-02,34.0,346358.0,173179.0,,,34.0,,,,68.0,,34.0,,,519639.0,519639.0,2025-05-08,,,,,,,,,,,,,,,,,,,,,,,,,
13,783340898,Mumbai,Maharashtra,Mumbai,MW,Co-Built,25-26,2958,MUMU25FL010,MUMU25FL010MCMW,MUMU25FL010MCMW250417D3C3L0013,MCGM,MW,,OPP. SANKET APARTMENT,NEAR EESH KRIPA BLDG,2024-04-17,783340898,,2025-04-29,90.0,916830.0,458415.0,,,90.0,,,,180.0,,90.0,,,1375515.0,1375515.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,783340711,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,MA928,MUMU25FL012,MUMU25FL012MCRC,MUMU25FL012MCRC250415D3C3L0018,MCGM,RC,,PM KULKARNI ROAD,ACHARYA ASHRAM,2025-04-15,783340711,,2025-04-25,100.0,1493600.0,746800.0,,,100.0,,,,200.0,,100.0,,,2240700.0,2240700.0,2025-05-09,,,,,,,,,,,,,,,,,,,,,,,,,
15,783340697,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,MA928,MUMU25FL012,MUMU25FL012MCRC,MUMU25FL012MCRC250415D3C3L0007,MCGM,RC,,PM KULKARNI ROAD,ACHARYA ASHRAM,2025-04-15,783340697,,2025-04-25,100.0,1493600.0,746800.0,,,100.0,,,,200.0,,100.0,,,2240700.0,2240700.0,2025-05-09,,,,,,,,,,,,,,,,,,,,,,,,,
16,KDMC/Ex.Engg/Construction/K-W/10,Mumbai,Maharashtra,Mumbai,KD,Co-Built,25-26,Mumbai_Coverage_Route7,MUMU25RC07,MUMU25RC07KDWI,MUMU25RC07KDWI250325D3C3L0025,KDMC,KD,,Hanuman Road,Nr jankalayan multispeciality hospital,2025-03-25,AIRTEL/OSP/2024-25/Open Trench-HDD/kdmc/01,,2025-04-15,2128.0,24301725.0,2430172.478,3645258.717,,2128.0,,,,425600.0,,,,,30802756.195,30802756.195,2025-05-02,,,,,,,,,,,,,,,,,,,,,,,,,
17,783340181,Mumbai,Maharashtra,Mumbai,RN,Co-Built,25-26,MB6370,MUMU25FL005,MUMU25FL005MCRN,MUMU25FL005MCRN250409D3C30028,MCGM,RN,,RAJ HERITAGE TOWER,MARY JAMMACULATE GIRLS SCHOOL,2025-04-09,783340181,,2025-04-17,91.0,1035398.0,517699.0,,,91.0,,,,182.0,,91.0,,,1553370.0,1553370.0,2025-04-23,,,,2025-04-24,783340181.0,2025-04-25,2025-04-30,91.0,,,,,,,,,,,,,,,,,
18,783326066,Mumbai,Maharashtra,Mumbai,E,IP-1,24-25,MUM_Route_10,MUMU25R010,MUMU25R010MCWB,MUMU25R010MCWE241221D2C6L0012,MCGM,E,," BOB Mirza Galibh road",Byculla Fire Bricade,2024-06-26,783326066,,2024-12-21,33.0,1152439.0,576219.5,,,33.0,,,,66.0,,33.0,,,1728757.5,1728757.5,2025-04-10,,,,,,,,,,,,,,,,,,,,,,,,,
19,783340954,Mumbai,Maharashtra,Mumbai,MW,Co-Built,25-26,2958,MUMU25FL010,MUMU25FL010MCMW,MUMU25FL010MCMW250417D3C3L0014,MCGM,MW,,NEAR EESH KRIPA BLDG,NEAR MAHESH KUTIR BLDG,2024-04-17,783340954,,2025-04-29,140.0,1426180.0,713090.0,,,140.0,,,,280.0,,140.0,,,2139690.0,2139690.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,783339323,Mumbai,Maharashtra,Mumbai,RN,Co-Built,25-26,5831,MUMU25FL005,MUMU25FL005MCRN,MUMU25FL005MCRN250401D3C30027,MCGM,RN,,JAYWANT SAWANT MARG,SAI AMRUT CHS,2025-04-01,783339323,,2025-04-17,136.0,1067996.0,533998.0,,,136.0,,,,272.0,,136.0,,,1602402.0,1602402.0,2025-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
