sr_no,route_type,ip1_co_built,dn_recipient,project_name,route_id_site_id,uid,build_type,category_type,survey_id,po_number,po_length,parent_route,ce_route_lmc_id,route_lmc_section_id,route_lmc_subsection_id,application_number,application_length_mtr,application_date,from_location,to_location,authority,ward,dn_number,dn_length_mtr,dn_received_date,trench_type,ot_length,surface,surface_wise_ri_amount,dn_ri_amount,surface_wise_multiplication_factor,ground_rent,administrative_charge,supervision_charges,chamber_fee,gst,ri_budget_amount_per_meter,projected_budget_ri_amount_dn,actual_total_non_refundable,non_refundable_amount_per_mtr,proj_non_refundable_savings_per_mtr,deposit,total_dn_amount,new_revised_dn_number,new_revised_dn_against,internal_approval_start,internal_approval_end,ticket_raised_date,dn_payment_date,tat_days,civil_completion_date,hdd_length,no_of_pits,pit_ri_rate,proj_savings_per_dn,surface_wise_length,road_name,permission_receipt_date,permit_no,permit_start_date,permit_end_date,permitted_length_by_ward_mts
1171,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349611,110.0,2025-10-11,KARMA YOG BUILDING NO.4,AKSAR BIRYANI CENTER,MCGM,RC,783349611,120.0,2025-10-15,OT,120.0,Mastic Asphalt 40 m,14936.00,1792320.0,1.00,240.0,120.0,,,,11640.27,1396832.43,1792680.0,14939.0,-3298.73,,1792680.0,,,,,,,,,,,,-395847.6,120.00,BABURAO PARANJPE MARG,,,,,
18,DC Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,MUM_Route_45,MUM_Route_45,New-build,Strategic,"AIR52K24R045005, AIR52K24R045006, AIR52K24R045007, AIR52K24R045008, AIR52K24R045009",10004670.0,6432.0,,MUMU25R045,MUMU25R045NMKK,MUMU25R045NMKK250327D3C3L0004,I110310,4765.0,2025-03-27,Stock Holding Corporation,Shilphata Road,MIDC,KK,I110310,4765.0,2025-04-24,Open Trench,,Embankment Soil,484,2306260.0,,14300.0,0.0,,,417908.0,7354.101316542645,35042292.7733257,2320560.0,487.0010493179433,6867.100267224701,500000.0,3238468.0,,,2025-04-25,2025-04-25,,2025-05-01,3,,,,,,,,,,,,
1,DC Route,IP-1,CE,Mumbai Fiber Refresh Project,MUM_Route_50,MUM_Route_50,Sify - Common,Strategic,AIR52K24R050001,10004765.0,6030.0,,MUMUR050,MUMUR050NIMI,MUMUR050NMMI250129D4C4L0001,I96966,5000.0,2025-01-29,A SIFY Rabale,F Mahape,MIDC,MIDC,I96966,4766.0,2025-02-10,Open Trench,,Embankment Soil,41,195406.0,,0.0,4766.0,,,36030.96,19200.0,91507200.0,200172.0,42.0,19158.0,250000.0,486202.96,,,2025-02-01,2025-02-06,2025-02-06,2025-02-12,6,,,,,,,,,,,,
2,DC Route,IP-1,CE,Mumbai Fiber Refresh Project,MUM_Route_50,MUM_Route_50,Sify - Common,Strategic,AIR52K24R050002,10004765.0,6030.0,,MUMUR050,MUMUR050NIMI,MUMUR050NMMI250212D4C4L0001,I99340,600.0,,F Mahape Police Chowky,G CNTRL S Mahape,MIDC,MIDC,I99340,600.0,2025-02-12,Open Trench,,Embankment Soil+CC Crossing,41/1797,59720.0,,0.0,600.0,,,10857.6,3000.0,1800000.0,60320.0,100.5333333333333,2899.466666666666,60000.0,131177.6,,,2025-02-18,2025-02-19,2025-04-28,2025-03-13,18,,,,,,,,,,,,
14,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route13,Mumbai_Coverage_Route13,New-build,Non-Strategic,AIR52K24RC13007,10004545.0,3030.0,,MUMU25RC13,MUMU25RC13KDKD,MUMU25RC13KDKD250325D3C3L0026,AIRTEL/OSP/2024-25/Open Trench-HDD/kdmc/02,80.0,2025-03-25,Jhulelal Chowk,Gold Gym,KDMC,KD,KDMC/Ex.Engg/Construction/K-W/06,80.0,2025-04-11,Open Trench,80.0,Paverblock,9269.27,741541.6000000001,1,160.0,0.0,,,,,,741701.6000000001,,,74170.16000000002,815871.7600000001,,,,,2025-04-11,,0,,,,,,,,,,,,
13,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route7,Mumbai_Coverage_Route7,New-build,Non-Strategic,Entire route DN achieved in single go.,10004531.0,2590.0,,MUMU25RC07,MUMU25RC07KDWI,MUMU25RC07KDWI250325D3C3L0025,AIRTEL/OSP/2024-25/Open Trench-HDD/kdmc/01,2128.0,2025-03-25,Hanuman Road,Nr jankalayan multispeciality hospital,KDMC,KD,KDMC/Ex.Engg/Construction/K-W/10,2128.0,2025-04-15,Open Trench,2128.0,Paverblock+Asphalt,9269.27/12326.53,24301725.0,,425600.0,,3645258.717,,,11600.0,24684800.0,28372583.717,13332.9810700188,-1732.981070018797,2430172.478,30802756.195,,,2025-04-18,2025-04-20,2025-04-20,2025-05-02,12,,,,,,,,,,,,
1030,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route13,Mumbai_Coverage_Route13,New-build,Non-Strategic,,10004545.0,3030.0,,MUMU26RC013,,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.2/387 Mtrs,387.0,,Near Moti Ram Open Plot Kalyan Sape Road,Near Hotel Maintals Restaurant,KDMC,KD,KDMC/KA/Const./162,387.0,,HDD,,Asphalt,5871.39,105685.02,1,77400.0,0.0,15852.753,0.0,0.0,11600.0,4489200.0,198937.77300000002,514.0510930232558,11085.948906976744,10568.502,209506.27500000002,,,,,,,,,387.0,,,,,,,,,,
1031,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route13,Mumbai_Coverage_Route13,New-build,Non-Strategic,,10004545.0,3030.0,,MUMU26RC013,,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.5/336 Mtrs,336.0,,Near Jhulele Chowk,Near Barve Road,KDMC,KD,KDMC/KA/Const./163,336.0,,OT,336.0,CC/Asphalt,12072.1/12326.50,4123896.0,1,67200.0,0.0,618585.912,0.0,0.0,11600.0,3897600.0,4809681.9120000005,14314.5295,-2714.5295000000006,412390.608,5222082.5200000005,,,,,,,,,,,,,,,,,,,
1032,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route13,Mumbai_Coverage_Route13,New-build,Non-Strategic,,10004545.0,3030.0,,MUMU26RC013,,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.1/328 Mtrs,328.0,,"Near D Mart, Mohan Square one",Near Moti Ram Open Plot Kalyan Sape Road,KDMC,KD,KDMC/KA/Const./164,328.0,,OT,328.0,Paver Block/Gravelling,9269.27/5871.39,2870426.56,1,65600.0,0.0,430563.984,0.0,0.0,11600.0,3804800.0,3366590.544,10263.99556097561,1336.0044390243893,287042.656,3653633.2,,,,,,,,,,,,,,,,,,,
1033,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route13,Mumbai_Coverage_Route13,New-build,Non-Strategic,,10004545.0,3030.0,,MUMU26RC013,,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.4/493 Mtrs,493.0,,Near KDMC Garden,Near Jhulelal Chowk,KDMC,KD,KDMC/KA/Const./165,493.0,,OT,493.0,Paver Block/Asphalt,9269.27/12326.50,4945789.4,1,98600.0,0.0,741868.9635,0.0,0.0,11600.0,5718800.0,5786258.3635,11736.832380324544,-136.83238032454392,494579.309,6280841.6725,,,,,,,,,,,,,,,,,,,
